MANUAL.ID,template,eucledian.distance
TRUE,CriniaSignifera_01,17.30964243
FALSE,CriniaSignifera_01,17.04050787
FALSE,CriniaSignifera_01,17.21484209
FALSE,CriniaSignifera_01,16.98379581
TRUE,CriniaSignifera_01,17.17253783
TRUE,CriniaSignifera_01,17.21229023
FALSE,CriniaSignifera_01,17.14507235
FALSE,CriniaSignifera_01,16.96638655
FALSE,CriniaSignifera_01,17.27654729
FALSE,CriniaSignifera_01,17.43989506
FALSE,CriniaSignifera_01,17.67257515
FALSE,CriniaSignifera_01,17.33116326
FALSE,CriniaSignifera_01,17.48167968
FALSE,CriniaSignifera_01,16.69375263
TRUE,CriniaSignifera_01,16.83479451
FALSE,CriniaSignifera_01,17.36037071
TRUE,CriniaSignifera_01,16.87348721
FALSE,CriniaSignifera_01,17.39309359
FALSE,CriniaSignifera_01,17.35914914
FALSE,CriniaSignifera_01,17.61699849
FALSE,CriniaSignifera_01,17.46056662
FALSE,CriniaSignifera_01,17.18847519
FALSE,CriniaSignifera_01,17.6016042
TRUE,CriniaSignifera_01,16.26870309
TRUE,CriniaSignifera_01,15.51118902
TRUE,CriniaSignifera_01,15.64400656
TRUE,CriniaSignifera_01,16.93882308
TRUE,CriniaSignifera_01,17.38154969
TRUE,CriniaSignifera_01,16.94899607
FALSE,CriniaSignifera_01,17.44805389
FALSE,CriniaSignifera_01,17.54720223
TRUE,CriniaSignifera_01,16.37552628
TRUE,CriniaSignifera_01,16.61654307
TRUE,CriniaSignifera_01,15.60441063
TRUE,CriniaSignifera_01,16.16468902
FALSE,CriniaSignifera_01,16.93733106
FALSE,CriniaSignifera_01,17.70686605
FALSE,CriniaSignifera_01,17.52171333
FALSE,CriniaSignifera_01,16.88698446
FALSE,CriniaSignifera_01,17.21322771
FALSE,CriniaSignifera_01,17.33969873
FALSE,CriniaSignifera_01,17.54270598
FALSE,CriniaSignifera_01,17.51351364
FALSE,CriniaSignifera_01,17.35003504
FALSE,CriniaSignifera_01,17.49516435
FALSE,CriniaSignifera_01,17.04895498
FALSE,CriniaSignifera_01,17.23788109
FALSE,CriniaSignifera_01,17.59571949
FALSE,CriniaSignifera_01,17.44061722
FALSE,CriniaSignifera_01,17.50262418
FALSE,CriniaSignifera_01,16.31883448
FALSE,CriniaSignifera_01,16.96882371
FALSE,CriniaSignifera_01,17.184396
