trip,date,item,category,method,cost,cost_per_item,number_of_items,notes
Trip1,22/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,23/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,24/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,25/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,26/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,27/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,28/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,29/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,30/4/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,1/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,2/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,3/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,4/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,5/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,6/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,7/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,8/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,9/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,10/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,11/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,12/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,13/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,14/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,15/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,16/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,17/5/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
,18/5/2021,,,,0,,,
,19/5/2021,,,,0,,,
,20/5/2021,,,,0,,,
,21/5/2021,,,,0,,,
,22/5/2021,,,,0,,,
,23/5/2021,,,,0,,,
,24/5/2021,,,,0,,,
,25/5/2021,,,,0,,,
,26/5/2021,,,,0,,,
,27/5/2021,,,,0,,,
,28/5/2021,,,,0,,,
,29/5/2021,,,,0,,,
,30/5/2021,,,,0,,,
,31/5/2021,,,,0,,,
Trip1,1/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,2/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,3/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,4/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,5/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,6/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,7/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,8/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,9/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,10/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,11/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,12/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,13/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,14/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,15/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,16/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,17/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,18/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,19/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,20/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,21/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
Trip1,22/6/2021,field costs,field costs,OBM,1000,,,"surveys at 6 sites including travel, 3500 km, fuel on site, staff salary per day for 5 people, accommodation, food"
,23/6/2021,,,,0,,,
,24/6/2021,,,,0,,,
,25/6/2021,,,,0,,,
,26/6/2021,,,,0,,,
,27/6/2021,,,,0,,,
,28/6/2021,,,,0,,,
,29/6/2021,,,,0,,,
,30/6/2021,,,,0,,,
,1/7/2021,,,,0,,,
,2/7/2021,,,,0,,,
